Period,Target,Sibling,Count
2010-2014,depression,hallucinosis,4
2010-2014,depression,abulia,3
2010-2014,mental_health,depression,148
2010-2014,mental_health,agitation,140
2010-2014,mental_health,hypnosis,138
2010-2014,mental_health,anxiety,136
2010-2014,mental_health,anhedonia,128
2010-2014,mental_health,trauma,128
2010-2014,mental_health,morale,118
2010-2014,mental_health,delusion,101
2010-2014,mental_health,dissociation,97
2010-2014,mental_health,state_of_mind,63
2010-2014,mental_health,depersonalization,63
2010-2014,mental_health,cognitive_state,56
2010-2014,mental_health,irritation,45
2010-2014,mental_health,nervousness,40
2010-2014,mental_health,mental_illness,33
2010-2014,mental_health,elation,30
2010-2014,mental_health,enchantment,24
2010-2014,mental_health,fugue,8
2010-2014,mental_health,hallucinosis,4
2010-2014,mental_illness,depression,163
2010-2014,mental_illness,anxiety,143
2010-2014,mental_illness,hypnosis,142
2010-2014,mental_illness,agitation,126
2010-2014,mental_illness,delusion,118
2010-2014,mental_illness,dissociation,118
2010-2014,mental_illness,anhedonia,113
2010-2014,mental_illness,depersonalization,113
2010-2014,mental_illness,trauma,101
2010-2014,mental_illness,morale,90
2010-2014,mental_illness,state_of_mind,68
2010-2014,mental_illness,irritation,59
2010-2014,mental_illness,nervousness,49
2010-2014,mental_illness,elation,37
2010-2014,mental_illness,enchantment,24
2010-2014,mental_illness,cognitive_state,22
2010-2014,mental_illness,fugue,10
2010-2014,mental_illness,hallucinosis,4
2010-2014,abuse,harassment,745
2010-2014,abuse,exploitation,380
2010-2014,abuse,contempt,149
2010-2014,abuse,disregard,141
2010-2014,abuse,annoyance,59
2010-2014,abuse,ridicule,15
2010-2014,abuse,derision,6
2010-2014,abuse,disparagement,5
2015-2019,trauma,anxiety,169
2015-2019,trauma,anhedonia,162
2015-2019,trauma,mental_health,152
2015-2019,trauma,depression,121
2015-2019,trauma,state_of_mind,120
2015-2019,trauma,agitation,110
2015-2019,trauma,dissociation,97
2015-2019,trauma,depersonalization,91
2015-2019,trauma,hypnosis,89
2015-2019,trauma,irritation,65
2015-2019,trauma,mental_illness,65
2015-2019,trauma,delusion,63
2015-2019,trauma,nervousness,54
2015-2019,trauma,morale,48
2015-2019,trauma,cognitive_state,29
2015-2019,trauma,elation,24
2015-2019,trauma,fugue,15
2015-2019,trauma,enchantment,13
2015-2019,trauma,hallucinosis,13
2015-2019,anxiety,trauma,158
2015-2019,anxiety,mental_health,150
2015-2019,anxiety,hypnosis,147
2015-2019,anxiety,depression,127
2015-2019,anxiety,agitation,124
2015-2019,anxiety,state_of_mind,110
2015-2019,anxiety,delusion,106
2015-2019,anxiety,dissociation,100
2015-2019,anxiety,anhedonia,94
2015-2019,anxiety,depersonalization,86
2015-2019,anxiety,mental_illness,64
2015-2019,anxiety,irritation,57
2015-2019,anxiety,morale,53
2015-2019,anxiety,nervousness,43
2015-2019,anxiety,cognitive_state,36
2015-2019,anxiety,elation,19
2015-2019,anxiety,enchantment,13
2015-2019,anxiety,hallucinosis,13
2015-2019,depression,hypnosis,145
2015-2019,depression,anxiety,132
2015-2019,depression,trauma,122
2015-2019,depression,state_of_mind,118
2015-2019,depression,mental_health,118
2015-2019,depression,dissociation,105
2015-2019,depression,anhedonia,102
2015-2019,depression,delusion,91
2015-2019,depression,agitation,76
2015-2019,depression,heaviness,76
2015-2019,depression,depersonalization,75
2015-2019,depression,mental_illness,59
2015-2019,depression,irritation,58
2015-2019,depression,misery,50
2015-2019,depression,morale,44
2015-2019,depression,nervousness,43
2015-2019,depression,cognitive_state,36
2015-2019,depression,sorrow,18
2015-2019,depression,enchantment,13
2015-2019,depression,melancholy,10
2015-2019,depression,hallucinosis,9
2015-2019,mental_health,depression,172
2015-2019,mental_health,hypnosis,142
2015-2019,mental_health,agitation,133
2015-2019,mental_health,trauma,130
2015-2019,mental_health,anxiety,118
2015-2019,mental_health,anhedonia,104
2015-2019,mental_health,delusion,100
2015-2019,mental_health,dissociation,97
2015-2019,mental_health,depersonalization,87
2015-2019,mental_health,state_of_mind,75
2015-2019,mental_health,morale,73
2015-2019,mental_health,mental_illness,71
2015-2019,mental_health,irritation,61
2015-2019,mental_health,cognitive_state,40
2015-2019,mental_health,nervousness,39
2015-2019,mental_health,elation,24
2015-2019,mental_health,enchantment,19
2015-2019,mental_health,hallucinosis,9
2015-2019,mental_health,abulia,6
2015-2019,mental_illness,anxiety,156
2015-2019,mental_illness,depression,154
2015-2019,mental_illness,trauma,154
2015-2019,mental_illness,dissociation,147
2015-2019,mental_illness,anhedonia,131
2015-2019,mental_illness,hypnosis,130
2015-2019,mental_illness,agitation,125
2015-2019,mental_illness,depersonalization,117
2015-2019,mental_illness,delusion,70
2015-2019,mental_illness,morale,68
2015-2019,mental_illness,state_of_mind,63
2015-2019,mental_illness,nervousness,56
2015-2019,mental_illness,irritation,44
2015-2019,mental_illness,elation,28
2015-2019,mental_illness,cognitive_state,23
2015-2019,mental_illness,enchantment,19
2015-2019,mental_illness,hallucinosis,9
2015-2019,mental_illness,abulia,6
2015-2019,abuse,harassment,709
2015-2019,abuse,exploitation,481
2015-2019,abuse,contempt,141
2015-2019,abuse,disregard,90
2015-2019,abuse,annoyance,40
2015-2019,abuse,ridicule,26
2015-2019,abuse,disparagement,13
